state,area,region,suburb,postcode,pages
vic,inner-east,melbourne-region,carnegie,3163,3
vic,east,melbourne-region,caulfield,3162,4
vic,east,melbourne-region,caulfield-south,3162,3
vic,inner-east,melbourne-region,ashburton,3147,2
vic,inner-east,melbourne-region,murrumbeena,3163,3
vic,east,melbourne-region,ormond,3204,3
vic,bayside,melbourne-region,brighton-east,3187,3
vic,bayside,melbourne-region,sandringham,3191,3
vic,bayside,melbourne-region,highett,3190,3
vic,bayside,melbourne-region,beaumaris,3193,3


